Tax Year,Credit Type,Place of Residence,Size of Earned Income,Notes,"Number of Claims, Zero Qualifying Children","Credit Amount Claimed, Zero Qualifying Children ($000)","Average Credit, Zero Qualifying Children","Number of Claims, One Qualifying Child","Credit Amount Claimed, One Qualifying Child ($000)","Average Credit, One Qualifying Child","Number of Claims, More than One Qualifying Child *","Credit Amount Claimed, More than One Qualifying Child ($000) *","Average Credit, More than One Qualifying Child *","Number of Claims, Two Qualifying Children **","Credit Amount Claimed, Two Qualifying Children ($000) **","Average Credit, Two Qualifying Children **","Number of Claims, More than Two Qualifying Children **","Credit Amount Claimed, More than Two Qualifying Children ($000) **","Average Credit, More than Two Qualifying Children **","Number of Claims, Total","Credit Amount Claimed, Total ($000)","Average Credit, Total",Place of Residence Sort Order,Earned Income Sort Order
2011,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,27337,233.000,9,49465,7478.000,151,,,,43078,10810.000,251,14560,4114.000,283,134440,22635.000,168,64,4
2011,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,4466,24.000,5,39426,5574.000,141,,,,30890,7465.000,242,12572,3491.000,278,87354,16554.000,189,64,5
2011,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000",,0,0.000,0,34810,4036.000,116,,,,23758,5025.000,212,10415,2681.000,257,68983,11742.000,170,64,6
2011,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",,0,0.000,0,30791,2625.000,85,,,,20234,3433.000,170,7710,1642.000,213,58735,7700.000,131,64,7
2011,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000","d/, a/",,,1,,,54,,,,18067,2299.000,127,6623,1112.000,168,51268,4840.000,94,64,8
2011,NYC EITC,"Full-Year Resident, Total","$32,001 - $36,000",a/,17,0.000,1,22690,531.000,23,,,,16149,1375.000,85,6017,750.000,125,44873,2657.000,59,64,9
2011,NYC EITC,"Full-Year Resident, Total","$36,001 - $40,000",,0,0.000,0,3587,86.000,24,,,,12423,577.000,46,4966,425.000,86,20976,1088.000,52,64,10
2011,NYC EITC,"Full-Year Resident, Total","$40,001 - $44,000","d/, a/",,,1,,,5,,,,4640,139.000,30,3737,178.000,48,9088,320.000,35,64,11
2011,NYC EITC,"Full-Year Resident, Total","$44,001 - $48,000",,0,0.000,0,0,0.000,0,,,,1343,14.000,11,1752,54.000,31,3095,68.000,22,64,12
2011,NYC EITC,"Full-Year Resident, Total","$48,001 AND OVER",,0,0.000,0,0,0.000,0,,,,0,0.000,0,316,2.000,6,316,2.000,6,64,13
2011,NYC EITC,"Full-Year Resident, Total",TOTAL,,267110,4108.000,15,327885,36950.000,113,,,,210984,37765.000,179,80583,16686.000,207,886562,95509.000,108,64,14
2010,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,49219,493.000,10,13343,529.000,40,,,,4841,222.000,46,1326,67.000,50,68729,1311.000,19,64,1
2010,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,101448,2100.000,21,34935,3717.000,106,,,,12348,1559.000,126,3342,472.000,141,152073,7848.000,52,64,2
2010,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,76126,1130.000,15,67045,9932.000,148,,,,28099,5675.000,202,8631,1975.000,229,179901,18712.000,104,64,3
2010,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,23882,201.000,8,46184,6842.000,148,,,,44631,11004.000,247,16090,4473.000,278,130787,22521.000,172,64,4
2010,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,3753,18.000,5,37975,5194.000,137,,,,28272,6639.000,235,11267,3042.000,270,81267,14893.000,183,64,5
2010,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000",d/,,,1,34587,3838.000,111,,,,23324,4741.000,203,,,247,67206,10878.000,162,64,6
2010,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",d/,,,1,30470,2456.000,81,,,,,,161,,,204,58106,7225.000,124,64,7
2010,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000",d/,,,1,26830,1325.000,49,,,,18757,2246.000,120,,,159,52253,4631.000,89,64,8
2010,NYC EITC,"Full-Year Resident, Total","$32,001 - $36,000",d/,,,1,20685,441.000,21,,,,16657,1304.000,78,,,118,43409,2457.000,57,64,9
2010,NYC EITC,"Full-Year Resident, Total","$36,001 - $40,000",,0,0.000,0,3554,69.000,20,,,,12607,502.000,40,4974,381.000,77,21135,953.000,45,64,10
2010,NYC EITC,"Full-Year Resident, Total","$40,001 - $44,000",,0,0.000,0,339,1.000,2,,,,3679,109.000,30,3565,151.000,42,7583,261.000,34,64,11
2010,NYC EITC,"Full-Year Resident, Total","$44,001 - $48,000",,0,0.000,0,0,0.000,0,,,,819,6.000,7,1666,40.000,24,2485,46.000,19,64,12
2010,NYC EITC,"Full-Year Resident, Total","$48,001 AND OVER",d/,,,1,0,0.000,0,,,,,,1,,,2,91,0.000,2,64,13
2010,NYC EITC,"Full-Year Resident, Total",TOTAL,,254447,3942.000,15,315947,34346.000,109,,,,214338,37282.000,174,80293,16166.000,201,865025,91735.000,106,64,14
2009,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,48243,505.000,10,12888,520.000,40,,,,4785,228.000,48,1339,69.000,52,67255,1323.000,20,64,1
2009,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,98706,2052.000,21,36157,3847.000,106,,,,12669,1590.000,126,3369,474.000,141,150901,7963.000,53,64,2
2009,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,72150,1115.000,15,73740,10864.000,147,,,,29396,5930.000,202,8742,2002.000,229,184028,19911.000,108,64,3
2009,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,22200,222.000,10,47576,7067.000,149,,,,45567,11170.000,245,14162,3928.000,277,129505,22387.000,173,64,4
2009,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,3631,39.000,11,38474,5302.000,138,,,,29015,6816.000,235,10209,2761.000,270,81329,14917.000,183,64,5
2009,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000",,104,13.000,122,35191,3929.000,112,,,,23821,4834.000,203,8541,2110.000,247,67657,10886.000,161,64,6
2009,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",,66,7.000,107,31504,2536.000,81,,,,21451,3461.000,161,7182,1463.000,204,60203,7467.000,124,64,7
2009,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000",,44,3.000,70,27509,1339.000,49,,,,19152,2285.000,119,6483,1027.000,158,53188,4655.000,88,64,8
2009,NYC EITC,"Full-Year Resident, Total","$32,001 - $36,000",,41,1.000,35,21345,452.000,21,,,,17720,1369.000,77,6096,707.000,116,45202,2529.000,56,64,9
2009,NYC EITC,"Full-Year Resident, Total","$36,001 - $40,000",d/,,,30,,,19,,,,,,39,5065,387.000,76,22243,982.000,44,64,10
2009,NYC EITC,"Full-Year Resident, Total","$40,001 - $44,000",d/,,,14,,,3,,,,,,29,3683,155.000,42,7816,269.000,34,64,11
2009,NYC EITC,"Full-Year Resident, Total","$44,001 - $48,000",d/,0,0.000,0,,,18,,,,,,7,1647,38.000,23,2423,43.000,18,64,12
2009,NYC EITC,"Full-Year Resident, Total","$48,001 AND OVER",,0,0.000,0,0,0.000,0,,,,0,0.000,0,75,0.000,2,75,0.000,2,64,13
2009,NYC EITC,"Full-Year Resident, Total",TOTAL,,245196,3957.000,16,328200,35927.000,109,,,,221836,38329.000,173,76593,15120.000,197,871825,93333.000,107,64,14
2008,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,51027,506.000,10,11759,489.000,42,5415,264.000,49,,,,,,,68201,1259.000,18,64,1
2008,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,94210,1859.000,20,32680,3500.000,107,14419,1820.000,126,,,,,,,141309,7180.000,51,64,2
2008,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,64835,809.000,12,60682,8745.000,144,35580,7323.000,206,,,,,,,161097,16878.000,105,64,3
2008,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,14212,65.000,5,47663,6824.000,143,54424,12972.000,238,,,,,,,116299,19862.000,171,64,4
2008,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",d/,,,1,,,127,36978,8204.000,222,,,,,,,75640,13116.000,173,64,5
2008,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000",,0,0.000,0,36025,3492.000,97,31300,5700.000,182,,,,,,,67325,9192.000,137,64,6
2008,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",d/,,,1,,,66,28213,3938.000,140,,,,,,,60157,6037.000,100,64,7
2008,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000",,0,0.000,0,28815,984.000,34,26119,2542.000,97,,,,,,,54934,3526.000,64,64,8
2008,NYC EITC,"Full-Year Resident, Total","$32,001 AND OVER",a/,23,0.000,1,14728,173.000,12,37858,1618.000,43,,,,,,,52609,1791.000,34,64,9
2008,NYC EITC,"Full-Year Resident, Total",TOTAL,,224311,3240.000,14,302954,31218.000,103,270306,44383.000,164,,,,,,,797571,78841.000,99,64,14
2007,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,51316,472.000,9,11355,486.000,43,5126,260.000,51,,,,,,,67797,1218.000,18,64,1
2007,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,94163,1802.000,19,40345,4444.000,110,16090,2044.000,127,,,,,,,150598,8290.000,55,64,2
2007,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,62191,690.000,11,81721,11526.000,141,48838,10201.000,209,,,,,,,192750,22417.000,116,64,3
2007,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,7728,26.000,3,49828,6952.000,140,63386,14758.000,233,,,,,,,120942,21736.000,180,64,4
2007,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,0,0.000,0,43573,5287.000,121,39805,8427.000,212,,,,,,,83378,13714.000,164,64,5
2007,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000",,0,0.000,0,39023,3509.000,90,33765,5699.000,169,,,,,,,72788,9209.000,127,64,6
2007,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",,0,0.000,0,33885,1983.000,59,30043,3820.000,127,,,,,,,63928,5803.000,91,64,7
2007,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000",,0,0.000,0,29945,817.000,27,27784,2360.000,85,,,,,,,57729,3178.000,55,64,8
2007,NYC EITC,"Full-Year Resident, Total","$32,001 AND OVER",,0,0.000,0,9123,71.000,8,33314,1184.000,36,,,,,,,42437,1255.000,30,64,9
2007,NYC EITC,"Full-Year Resident, Total",TOTAL,,215398,2990.000,14,338798,35076.000,104,298151,48752.000,164,,,,,,,852347,86818.000,102,64,14
2006,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,46566,428.000,9,15189,853.000,56,10068,1027.000,102,,,,,,,71841,2309.000,32,64,1
2006,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,87412,1600.000,18,43810,4849.000,111,17487,2224.000,127,,,,,,,148769,8676.000,58,64,2
2006,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,57788,549.000,9,60353,8208.000,136,46776,9635.000,206,,,,,,,164969,18393.000,111,64,3
2006,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,2870,13.000,4,48553,6478.000,133,51296,11405.000,222,,,,,,,102719,17895.000,174,64,4
2006,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,0,0.000,0,41815,4667.000,112,36654,7194.000,196,,,,,,,78469,11862.000,151,64,5
2006,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000",,0,0.000,0,38375,3084.000,80,32229,4948.000,154,,,,,,,70605,8032.000,114,64,6
2006,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",,0,0.000,0,32990,1614.000,49,30425,3409.000,112,,,,,,,63415,5023.000,79,64,7
2006,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000",,0,0.000,0,28392,522.000,18,27958,1973.000,71,,,,,,,56355,2495.000,44,64,8
2006,NYC EITC,"Full-Year Resident, Total","$32,001 AND OVER",,0,0.000,0,1684,14.000,8,25591,709.000,28,,,,,,,27275,723.000,26,64,9
2006,NYC EITC,"Full-Year Resident, Total",TOTAL,,194636,2590.000,13,311161,30290.000,97,278484,42524.000,153,,,,,,,784417,75407.000,96,64,14
2005,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,47902,440.000,9,14235,686.000,48,7158,480.000,67,,,,,,,69297,1606.000,23,64,1
2005,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,81608,1457.000,18,46025,5111.000,111,18340,2322.000,127,,,,,,,145973,8890.000,61,64,2
2005,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,51229,437.000,9,52851,6957.000,132,44313,8957.000,202,,,,,,,148393,16351.000,110,64,3
2005,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,2478,8.000,3,45450,5803.000,128,45371,9717.000,214,,,,,,,93299,15528.000,166,64,4
2005,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,0,0.000,0,41278,4279.000,104,36623,6755.000,184,,,,,,,77901,11034.000,142,64,5
2005,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000",,0,0.000,0,37456,2731.000,73,33180,4710.000,142,,,,,,,70636,7441.000,105,64,6
2005,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",,0,0.000,0,32138,1336.000,42,31104,3143.000,101,,,,,,,63242,4479.000,71,64,7
2005,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000",d/,,,5,22034,324.000,15,28243,1682.000,60,,,,,,,50283,2006.000,40,64,8
2005,NYC EITC,"Full-Year Resident, Total","$32,001 AND OVER",,0,0.000,0,863,3.000,4,19764,433.000,22,,,,,,,20627,436.000,21,64,9
2005,NYC EITC,"Full-Year Resident, Total",TOTAL,,183223,2343.000,13,292330,27231.000,93,264096,38198.000,145,,,,,,,739651,67771.000,92,64,14
2004,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,49020,443.000,9,15110,644.000,43,7598,381.000,50,,,,,,,71728,1467.000,20,64,1
2004,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,81895,1417.000,17,49561,5449.000,110,22051,2777.000,126,,,,,,,153507,9643.000,63,64,2
2004,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,42935,334.000,8,52150,6690.000,128,47435,9453.000,199,,,,,,,142520,16477.000,116,64,3
2004,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,529,1.000,1,44196,5430.000,123,43957,9084.000,207,,,,,,,88682,14515.000,164,64,4
2004,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,0,0.000,0,41419,3976.000,96,35470,6070.000,171,,,,,,,76889,10047.000,131,64,5
2004,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000",,0,0.000,0,37663,2483.000,66,33466,4356.000,130,,,,,,,71129,6839.000,96,64,6
2004,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",,0,0.000,0,32415,1127.000,35,31750,2832.000,89,,,,,,,64165,3959.000,62,64,7
2004,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000",,0,0.000,0,15692,177.000,11,28909,1395.000,48,,,,,,,44601,1572.000,35,64,8
2004,NYC EITC,"Full-Year Resident, Total","$32,001 AND OVER",,0,0.000,0,0,0.000,0,14593,219.000,15,,,,,,,14593,219.000,15,64,9
2004,NYC EITC,"Full-Year Resident, Total",TOTAL,,174379,2194.000,13,288206,25975.000,90,265229,36568.000,138,,,,,,,727814,64737.000,89,64,14
2014,NYC EITC,"Full-Year Resident, Total","$0 - $4,000",,55258,546.309,10,9165,354.832,39,,,,3111,135.796,44,925,44.713,48,68459,1081.650,16,64,1
2014,NYC EITC,"Full-Year Resident, Total","$4,001 - $8,000",,102523,2240.442,22,24957,2622.051,105,,,,7731,949.754,123,2231,306.308,137,137442,6118.555,45,64,2
2014,NYC EITC,"Full-Year Resident, Total","$8,001 - $12,000",,92607,1705.394,18,70642,11103.862,157,,,,17779,3589.548,202,5304,1211.954,228,186332,17610.758,95,64,3
2014,NYC EITC,"Full-Year Resident, Total","$12,001 - $16,000",,45045,426.456,9,47980,7736.182,161,,,,40609,10665.098,263,14517,4311.156,297,148151,23138.892,156,64,4
2014,NYC EITC,"Full-Year Resident, Total","$16,001 - $20,000",,9330,73.339,8,42299,6701.006,158,,,,31102,8246.644,265,13291,3994.837,301,96022,19015.826,198,64,5
2014,NYC EITC,"Full-Year Resident, Total","$20,001 - $24,000",,0,0.000,0,36886,5044.759,137,,,,23891,5789.637,242,11083,3189.804,288,71860,14024.200,195,64,6
2014,NYC EITC,"Full-Year Resident, Total","$24,001 - $28,000",,0,0.000,0,31229,3362.321,108,,,,20109,4128.071,205,8553,2160.610,253,59891,9651.002,161,64,7
2014,NYC EITC,"Full-Year Resident, Total","$28,001 - $32,000",,0,0.000,0,25913,1930.341,74,,,,17169,2790.405,163,6663,1379.817,207,49745,6100.563,123,64,8
2014,NYC EITC,"Full-Year Resident, Total","$32,001 - $36,000",,0,0.000,0,22980,975.860,42,,,,,,118,5867,949.591,162,43788,3686.507,84,64,9
2014,NYC EITC,"Full-Year Resident, Total","$36,001 - $40,000",a/,,,1,13353,273.644,20,,,,12740,967.672,76,5080,606.997,119,31185,1848.325,59,64,10
2014,NYC EITC,"Full-Year Resident, Total","$40,001 - $44,000",d/,,,1,,,16,,,,8878,356.858,40,3978,316.778,80,15959,723.896,45,64,11
2014,NYC EITC,"Full-Year Resident, Total","$44,001 - $48,000",,0,0.000,0,0,0.000,0,,,,2861,91.942,32,2727,129.342,47,5588,221.284,40,64,12
2014,NYC EITC,"Full-Year Resident, Total","$48,001 - $52,000",d/,0,0.000,0,,,1,,,,,,6,1742,40.648,23,2435,45.062,19,64,13
2014,NYC EITC,"Full-Year Resident, Total","$52,001 AND OVER",,0,0.000,0,0,0.000,0,,,,0,0.000,0,0,0.000,0,0,0.000,0,64,14
2014,NYC EITC,"Full-Year Resident, Total",TOTAL,,304777,4991.954,16,328508,40155.119,122,,,,201611,39476.892,196,81961,18642.555,227,916857,103266.520,113,64,14
